Sym,LotSize,Start,End,Expiry
BANKNIFTY,25,2020-12-24,2021-01-22,2021-01-21
BANKNIFTY,25,2021-01-22,2021-02-19,2021-02-18
BANKNIFTY,25,2021-02-19,2021-03-19,2021-03-18
BANKNIFTY,25,2021-03-19,2021-04-23,2021-04-22
BANKNIFTY,25,2021-04-23,2021-05-21,2021-05-20
BANKNIFTY,25,2021-05-21,2021-06-18,2021-06-17
BANKNIFTY,25,2021-06-18,2021-07-23,2021-07-22
BANKNIFTY,25,2021-07-23,2021-08-19,2021-08-18
BANKNIFTY,25,2021-08-19,2021-09-24,2021-09-23
BANKNIFTY,25,2021-09-24,2021-10-22,2021-10-21
BANKNIFTY,25,2021-10-22,2021-11-19,2021-11-18
BANKNIFTY,25,2021-11-19,2021-12-24,2021-12-23
