Sym,LotSize,Start,End,Expiry,StopLoss15,StopLoss60
BANKNIFTY,25,2019-12-26,2020-01-24,2020-01-23,200,135
BANKNIFTY,25,2020-01-24,2020-02-21,2020-02-20,200,135
BANKNIFTY,25,2020-02-21,2020-03-20,2020-03-19,200,135
BANKNIFTY,25,2020-03-20,2020-04-24,2020-04-23,200,135
BANKNIFTY,25,2020-04-24,2020-05-22,2020-05-21,200,135
BANKNIFTY,25,2020-05-22,2020-06-19,2020-06-18,200,135
BANKNIFTY,25,2020-06-19,2020-07-24,2020-07-23,200,135
BANKNIFTY,25,2020-07-24,2020-08-21,2020-08-20,200,135
BANKNIFTY,25,2020-08-21,2020-09-18,2020-09-17,200,135
BANKNIFTY,25,2020-09-18,2020-10-23,2020-10-22,200,135
BANKNIFTY,25,2020-10-23,2020-11-20,2020-11-19,200,135
BANKNIFTY,25,2020-11-20,2020-12-25,2020-12-24,200,135
